anpr_backend  | INFO:     Started server process [1]
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 58034) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:47160 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/history?limit=200 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 52486) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47164 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:47924 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 54330) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     ('172.18.0.1', 48404) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:48412 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 45280) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     ('172.18.0.1', 51320) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:33728 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 45262) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     ('172.18.0.1', 34672) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:34684 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 40390) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:42712 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:53024 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:53530 - "OPTIONS /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:53530 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:53530 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:53530 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:53530 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:53530 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:53530 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:48448 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:48448 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:48448 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:48448 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 403 Forbidden
anpr_backend  | INFO:     172.18.0.1:44570 - "OPTIONS /api/v1/auth/user-login HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:44570 - "POST /api/v1/auth/user-login HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:44570 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/history?limit=200 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:35222 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "OPTIONS /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:04:28,265 [INFO] mqtt_manager: Gate G1 is now ONLINE (via MQTT)
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 59952) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA3MDc3MjYsImV4cCI6MTc4MDczNjUyNiwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.n0YNzI6KGCrGrLTHDFTk6LH02R9MnJSbiLbWM_Fp-W8" [accepted]
anpr_backend  | 2026-06-06 01:04:42,625 [INFO] ws_manager: Dashboard client connected. Total: 1
anpr_backend  | INFO:     connection open
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:37132 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:49180 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:49180 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:49180 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:49180 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52884 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52900 - "OPTIONS /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52884 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:06:07,116 [INFO] ws_manager: Dashboard client disconnected. Total: 0
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:52884 - "OPTIONS /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52884 - "GET /api/v1/vehicles/?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52884 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52900 - "OPTIONS /api/v1/gate/history?limit=200 HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 52934) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA3MDc3MjYsImV4cCI6MTc4MDczNjUyNiwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.n0YNzI6KGCrGrLTHDFTk6LH02R9MnJSbiLbWM_Fp-W8" [accepted]
anpr_backend  | 2026-06-06 01:06:08,227 [INFO] ws_manager: Dashboard client connected. Total: 1
anpr_backend  | INFO:     connection open
anpr_backend  | INFO:     172.18.0.1:52900 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52884 - "GET /api/v1/gate/history?limit=200 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:07:02,404 [INFO] mqtt_manager: Gate G1 is now OFFLINE (via MQTT)
anpr_backend  | 2026-06-06 01:07:02,406 [ERROR] mqtt_manager: Error handling incoming MQTT messages: Disconnected during message iteration
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:52906 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:60802 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:08:09,178 [INFO] gate_service: [BD2541WH] Exit approved → fee Rp2000 → gate G1 opened.
anpr_backend  | 2026-06-06 01:08:09,208 [ERROR] mqtt_manager: Failed to publish to gate/G1/command: [code:4] The client is not currently connected.
anpr_backend  | INFO:     172.18.0.1:60800 - "POST /api/v1/gate/trigger HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:60802 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:60802 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:08:18,966 [WARNING] gate_service: [BD2541WH] No active session — manual verification required.
anpr_backend  | INFO:     172.18.0.1:58508 - "POST /api/v1/gate/trigger HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:08:29,597 [WARNING] gate_service: [BD2541WH] No active session — manual verification required.
anpr_backend  | INFO:     172.18.0.1:37804 - "POST /api/v1/gate/trigger HTTP/1.1" 200 OK
anpr_backend  | 2026-06-06 01:08:34,019 [INFO] gate_service: [BD2541WH] In cooldown window — skipping.
anpr_backend  | INFO:     172.18.0.1:37804 - "POST /api/v1/gate/trigger HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/history?limit=200 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:43928 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
